ogc_fid,lat,lon,rooms,bedrooms,bathrooms,surface_to,surface_co,price,pm2
271,-34.5953491,-58.448566,2,1,1,62,48,110000,2291.66666666667
272,-34.5857665,-58.4366345,2,1,1,37,37,85000,2297.2972972973
273,-34.5705015,-58.4892497,2,1,1,35,35,107000,3057.14285714286
274,-34.5747359986,-58.4746264614,2,1,1,69,57,139000,2438.59649122807
275,-34.6095544,-58.5629998,2,1,,41,39,90000,2307.69230769231
276,-34.6361782,-58.4909164,1,1,1,44,40,85000,2125
277,-34.6144773,-58.4955009,2,1,1,45,40,127000,3175
278,-34.6053726,-58.4276083,2,1,1,56,50,143000,2860
279,-34.6054076569,-58.4081229988,3,2,2,125,84,230000,2738.09523809524
280,-34.6246773,-58.423383,3,2,1,81,65,111000,1707.69230769231
281,-34.4349751,-58.7935023,3,2,3,129,107,367500,3434.57943925234
282,-34.4082463,-58.6324875,3,2,3,103,83,365000,4397.59036144578
283,-34.4267897918,-58.6610103301,3,2,2,103,76,173000,2276.31578947368
284,-34.4267897918,-58.6610103301,3,2,3,146,76,210000,2763.15789473684
285,-34.4054553877,-58.6483889,3,2,2,110,81,320000,3950.61728395062
286,-34.444776448,-58.6212920068,3,2,2,96,85,270000,3176.47058823529
287,-34.6251475847,-58.4660459362,3,2,2,74,66,189000,2863.63636363636
288,-34.606022,-58.4298855,3,2,2,96,89,195000,2191.01123595506
289,-34.60252,-58.43683,3,2,2,87,77,173000,2246.75324675325
290,-34.6028961,-58.4310504,3,2,2,90,83,290000,3493.97590361446
291,-34.6016938057,-58.4303447543,3,2,1,55,45,120000,2666.66666666667
292,-34.60736,-58.4173,3,2,2,65,60,217000,3616.66666666667
293,-34.60273,-58.41435,3,2,3,85,57,185000,3245.61403508772
294,-34.6052647,-58.4245794,3,2,1,45,35,105000,3000
295,-34.5768139,-58.423661,3,2,1,48,48,152000,3166.66666666667
296,-34.5974345,-58.4286264,3,2,1,80,75,149000,1986.66666666667
297,-34.5859904,-58.4384503,3,2,1,69,59,285000,4830.50847457627
298,-34.5955665181,-58.4229095349,3,2,2,92,90,286000,3177.77777777778
299,-34.5796724,-58.4002472,3,2,1,48,48,152000,3166.66666666667
300,-34.577446,-58.4055483,3,2,2,150,135,995000,7370.37037037037
301,-34.5654003982,-58.4621680302,3,2,1,71,61,175000,2868.85245901639
302,-34.5755515,-58.4600977,3,2,2,89,89,340000,3820.22471910112
303,-34.563639297,-58.4510614963,3,2,3,140,140,470000,3357.14285714286
307,-34.5909404,-58.3869397,3,2,1,70,65,275000,4230.76923076923
308,-34.589701,-58.3936415,3,2,2,66,66,205000,3106.06060606061
309,-34.6280112,-58.4351927,3,2,2,89,77,206700,2684.41558441558
310,-34.6079076,-58.445576,3,2,2,83,83,195000,2349.39759036145
311,-34.7019134,-58.3228616,3,2,1,77,65,138000,2123.07692307692
312,-34.5728484,-58.4518908,3,2,2,94,85,340000,4000
313,-34.6439978,-58.5662883,3,2,1,65,60,120000,2000
314,-34.6398161,-58.5698201,3,2,1,57,52,80000,1538.46153846154
315,-34.4629708,-58.5252791,3,2,2,75,53,270000,5094.33962264151
316,-34.5493727,-58.7025284,3,2,1,88,76,240000,3157.89473684211
317,-34.8214716,-58.1817427,3,2,3,117,91,190000,2087.91208791209
318,-34.5807494,-58.4749906,3,2,2,82,70,175000,2500
319,-34.6005768435,-58.4034146635,4,2,2,78,78,185000,2371.79487179487
320,-34.569854207,-58.4308466423,3,2,3,143,120,490000,4083.33333333333
321,-34.5969993059,-58.4415068505,3,2,2,63,60,170000,2833.33333333333
322,-34.5958333748,-58.4421452465,3,2,1,75,55,149000,2709.09090909091
323,-34.5958333748,-58.4421452465,3,2,1,75,55,149000,2709.09090909091
324,-34.57429,-58.479777,3,2,2,80,75,268000,3573.33333333333
325,-34.6038907195,-58.4442412511,3,2,1,69,63,155000,2460.31746031746
326,-34.433759,-58.7966105,4,3,3,100,100,290000,2900
327,-34.4348879325,-58.6445898433,4,3,2,126,96,310000,3229.16666666667
328,-34.4353126745,-58.6441392322,5,3,2,137,108,340000,3148.14814814815
329,-34.5837548,-58.4050533,4,3,4,185,185,850000,4594.5945945946
330,-34.5651679,-58.4344895,5,3,3,223,200,980000,4900
331,-34.589631,-58.4092734,4,3,2,160,160,440000,2750
332,-34.5881971,-58.4144732,4,3,3,273,107,384000,3588.78504672897
333,-34.5949724,-58.4137295,4,3,3,150,130,385000,2961.53846153846
334,-34.5919397002,-58.4146450205,4,3,2,126,115,450000,3913.04347826087
335,-34.5816695,-58.4087844,4,3,2,99,92,385000,4184.78260869565
336,-34.5773582,-58.407118,4,3,4,260,244,1700000,6967.2131147541
337,-34.6141009,-58.3933198,4,3,2,98,93,295000,3172.04301075269
338,-34.5585615471,-58.4639821455,4,3,2,89,80,250000,3125
339,-34.5626588,-58.4531445,4,3,2,87,83,397000,4783.13253012048
340,-34.5585615471,-58.4639821455,4,3,2,89,80,230000,2875
342,-34.5880865,-58.3841683,5,3,2,154,152,550000,3618.42105263158
343,-34.5922994,-58.3850833,5,3,3,213,213,595000,2793.42723004695
344,-34.594257,-58.385916,5,3,2,180,180,620000,3444.44444444444
345,-34.4768634,-58.509886,4,3,2,91,87,265000,3045.97701149425
346,-34.595408,-58.39673,,3,2,98,95,220000,2315.78947368421
347,-34.5647532761,-58.4348837429,5,3,3,223,200,980000,4900
348,-34.5934766319,-58.4458224783,4,3,1,95,95,180000,1894.73684210526
349,-34.5982107117,-58.4356258651,4,3,2,99,84,225000,2678.57142857143
350,-34.5985917,-58.4354163,4,3,2,80,64,185000,2890.625
351,-34.6013644,-58.4301434,4,3,2,78,70,184000,2628.57142857143
352,-34.6172826579,-58.3598919759,4,3,4,317,225,1850000,8222.22222222222
353,-34.6130072,-58.360158,4,3,2,170,170,1650000,9705.88235294118
354,-34.61104,-58.43824,4,3,2,136,121,340000,2809.9173553719
355,-34.409058,-58.6325064,5,4,4,177,111,425000,3828.82882882883
356,-34.4090177612,-58.6318386249,5,4,3,241,124,430000,3467.74193548387
357,-34.409058,-58.6325064,5,4,4,177,111,425000,3828.82882882883
358,-34.641094,-58.3773949,5,4,3,144,133,360000,2706.76691729323
359,-34.5644787386,-58.4462043272,5,4,3,210,210,770000,3666.66666666667
360,-34.5675097633,-58.4378019864,5,4,3,175,133,450000,3383.45864661654
361,-34.6020861,-58.4343586,5,4,3,185,163,399000,2447.8527607362
362,-34.587781,-58.3890431,6,5,3,269,264,1600000,6060.60606060606
363,-34.628897,-58.364946,4,3,2,170,145,236000,1627.58620689655
364,-34.629979,-58.414685,2,1,1,36,36,93000,2583.33333333333
365,-34.624253,-58.421669,3,2,1,109,93,264000,2838.70967741935
366,-34.473105,-58.911348,2,1,1,77,37,35000,945.945945945946
367,-34.473105,-58.911348,2,1,1,77,38,35000,921.052631578948
368,-34.473105,-58.911348,2,1,1,108,36,40000,1111.11111111111
369,-34.551049,-58.460001,2,1,1,62,55,155000,2818.18181818182
370,-34.548676,-58.469313,3,2,1,69,63,300000,4761.90476190476
371,-34.596763,-58.383342,6,5,4,317,288,749000,2600.69444444444
372,-34.593686,-58.381347,5,4,4,223,189,790000,4179.89417989418
373,-34.599358,-58.370822,1,1,1,34,33,84500,2560.60606060606
374,-34.611017,-58.413499,2,1,1,36,36,69500,1930.55555555556
375,-34.61211,-58.415796,4,3,1,84,84,180000,2142.85714285714
376,-34.612748,-58.422048,4,3,2,97,93,300000,3225.8064516129
377,-34.611261,-58.420893,1,1,1,36,33,102000,3090.90909090909
378,-34.6057067,-58.4159979,1,1,1,37,29,97800,3372.41379310345
379,-34.61097,-58.418198,7,5,3,233,233,415000,1781.11587982833
380,-34.607427,-58.422434,2,1,1,30,30,73000,2433.33333333333
381,-34.563557,-58.470867,2,1,1,76,36,133000,3694.44444444444
382,-34.367437,-58.763596,3,2,1,95,69,104611,1516.10144927536
383,-34.367437,-58.763596,3,2,1,95,77,123318,1601.53246753247
384,-34.579778,-58.429623,1,,1,43,36,145000,4027.77777777778
385,-34.5935647,-58.4403051,1,,1,45,36,102000,2833.33333333333
386,-34.592762,-58.413376,3,2,1,78,78,235000,3012.82051282051
387,-34.588858,-58.413316,2,1,1,50,46,100000,2173.91304347826
388,-34.593286,-58.415655,3,2,2,106,85,370000,4352.94117647059
389,-34.723747,-58.253438,2,2,1,40,38,85000,2236.84210526316
390,-34.70486832,-58.29722214,1,,1,40,40,40000,1000
391,-34.69744,-58.292333,3,2,1,71,65,137621,2117.24615384615
392,-34.697344,-58.292371,3,2,1,97,58,153876,2653.03448275862
393,-34.631802,-58.370129,2,1,1,56,53,132000,2490.56603773585
394,-34.638147,-58.371493,3,2,1,54,51,138500,2715.6862745098
395,-34.563005,-58.453674,4,3,2,102,89,419000,4707.86516853933
396,-34.556247,-58.455741,4,3,3,99,99,380000,3838.38383838384
397,-34.563779,-58.450873,2,1,1,44,43,165000,3837.20930232558
398,-34.56877,-58.455107,2,1,1,30,30,108000,3600
401,-34.601603,-58.460943,4,3,1,70,65,139000,2138.46153846154
402,-34.595035,-58.390884,5,3,2,148,140,440000,3142.85714285714
